"Period","Sex","Age_group","Ethnic_group","Regional_council","Level_of_crowding","Count"
2001,"Female","Total","Total","Total","1 bedroom needed",122958
2001,"Female","Total","Total","Total","1 bedroom spare",612447
2001,"Female","Total","Total","Total","2+ bedrooms needed",56163
2001,"Female","Total","Total","Total","2+ bedrooms spare",516039
2001,"Female","Total","Total","Total","No extra bedrooms required",459234
2001,"Female","Total","Total","Total","Total",1840050
2001,"Female","Total","Total","Total","Unknown",73209
2001,"Male","Total","Total","Total","1 bedroom needed",116505
2001,"Male","Total","Total","Total","1 bedroom spare",572514
2001,"Male","Total","Total","Total","2+ bedrooms needed",52728
2001,"Male","Total","Total","Total","2+ bedrooms spare",503715
2001,"Male","Total","Total","Total","No extra bedrooms required",439074
2001,"Male","Total","Total","Total","Total",1754466
2001,"Male","Total","Total","Total","Unknown",69927
2001,"Total","0–4","Total","Total","1 bedroom needed",29688
2001,"Total","0–4","Total","Total","1 bedroom spare",96354
2001,"Total","0–4","Total","Total","2+ bedrooms needed",14715
2001,"Total","0–4","Total","Total","2+ bedrooms spare",34461
2001,"Total","0–4","Total","Total","No extra bedrooms required",83739
2001,"Total","0–4","Total","Total","Total",267036
2001,"Total","0–4","Total","Total","Unknown",8079
2001,"Total","10–14","Total","Total","1 bedroom needed",27861
2001,"Total","10–14","Total","Total","1 bedroom spare",100248
2001,"Total","10–14","Total","Total","2+ bedrooms needed",13059
2001,"Total","10–14","Total","Total","2+ bedrooms spare",42831
2001,"Total","10–14","Total","Total","No extra bedrooms required",92469
2001,"Total","10–14","Total","Total","Total",284643
2001,"Total","10–14","Total","Total","Unknown",8178
2001,"Total","15–19","Total","Total","1 bedroom needed",25320
2001,"Total","15–19","Total","Total","1 bedroom spare",82944
2001,"Total","15–19","Total","Total","2+ bedrooms needed",12603
2001,"Total","15–19","Total","Total","2+ bedrooms spare",40290
2001,"Total","15–19","Total","Total","No extra bedrooms required",80415
2001,"Total","15–19","Total","Total","Total",250380
2001,"Total","15–19","Total","Total","Unknown",8808
2001,"Total","20–24","Total","Total","1 bedroom needed",22824
2001,"Total","20–24","Total","Total","1 bedroom spare",68091
2001,"Total","20–24","Total","Total","2+ bedrooms needed",11319
2001,"Total","20–24","Total","Total","2+ bedrooms spare",34053
2001,"Total","20–24","Total","Total","No extra bedrooms required",81279
2001,"Total","20–24","Total","Total","Total",227523
2001,"Total","20–24","Total","Total","Unknown",9957
2001,"Total","25–29","Total","Total","1 bedroom needed",17316
2001,"Total","25–29","Total","Total","1 bedroom spare",80133
2001,"Total","25–29","Total","Total","2+ bedrooms needed",7749
2001,"Total","25–29","Total","Total","2+ bedrooms spare",51510
2001,"Total","25–29","Total","Total","No extra bedrooms required",70125
2001,"Total","25–29","Total","Total","Total",237192
2001,"Total","25–29","Total","Total","Unknown",10359
2001,"Total","30–34","Total","Total","1 bedroom needed",17802
2001,"Total","30–34","Total","Total","1 bedroom spare",96276
2001,"Total","30–34","Total","Total","2+ bedrooms needed",7119
2001,"Total","30–34","Total","Total","2+ bedrooms spare",61863
2001,"Total","30–34","Total","Total","No extra bedrooms required",74241
2001,"Total","30–34","Total","Total","Total",268743
2001,"Total","30–34","Total","Total","Unknown",11448
2001,"Total","35–39","Total","Total","1 bedroom needed",18348
2001,"Total","35–39","Total","Total","1 bedroom spare",106548
2001,"Total","35–39","Total","Total","2+ bedrooms needed",6765
2001,"Total","35–39","Total","Total","2+ bedrooms spare",63699
2001,"Total","35–39","Total","Total","No extra bedrooms required",81336
2001,"Total","35–39","Total","Total","Total",288204
2001,"Total","35–39","Total","Total","Unknown",11508
2001,"Total","40–44","Total","Total","1 bedroom needed",15375
2001,"Total","40–44","Total","Total","1 bedroom spare",103587
2001,"Total","40–44","Total","Total","2+ bedrooms needed",5847
2001,"Total","40–44","Total","Total","2+ bedrooms spare",71403
2001,"Total","40–44","Total","Total","No extra bedrooms required",71427
2001,"Total","40–44","Total","Total","Total",278700
2001,"Total","40–44","Total","Total","Unknown",11058
2001,"Total","45–49","Total","Total","1 bedroom needed",11028
2001,"Total","45–49","Total","Total","1 bedroom spare",83547
2001,"Total","45–49","Total","Total","2+ bedrooms needed",4560
2001,"Total","45–49","Total","Total","2+ bedrooms spare",86628
2001,"Total","45–49","Total","Total","No extra bedrooms required",50706
2001,"Total","45–49","Total","Total","Total",246081
2001,"Total","45–49","Total","Total","Unknown",9615
2001,"Total","5–9","Total","Total","1 bedroom needed",32595
2001,"Total","5–9","Total","Total","1 bedroom spare",92439
2001,"Total","5–9","Total","Total","2+ bedrooms needed",14709
2001,"Total","5–9","Total","Total","2+ bedrooms spare",33477
2001,"Total","5–9","Total","Total","No extra bedrooms required",102678
2001,"Total","5–9","Total","Total","Total",284184
2001,"Total","5–9","Total","Total","Unknown",8283
2001,"Total","50–54","Total","Total","1 bedroom needed",7212
2001,"Total","50–54","Total","Total","1 bedroom spare",65562
2001,"Total","50–54","Total","Total","2+ bedrooms needed",3315
2001,"Total","50–54","Total","Total","2+ bedrooms spare",111381
2001,"Total","50–54","Total","Total","No extra bedrooms required",33852
2001,"Total","50–54","Total","Total","Total",230148
2001,"Total","50–54","Total","Total","Unknown",8823
2001,"Total","55–59","Total","Total","1 bedroom needed",4590
2001,"Total","55–59","Total","Total","1 bedroom spare",43494
2001,"Total","55–59","Total","Total","2+ bedrooms needed",2169
2001,"Total","55–59","Total","Total","2+ bedrooms spare",99384
2001,"Total","55–59","Total","Total","No extra bedrooms required",19650
2001,"Total","55–59","Total","Total","Total",176286
2001,"Total","55–59","Total","Total","Unknown",6996
2001,"Total","60–64","Total","Total","1 bedroom needed",3570
2001,"Total","60–64","Total","Total","1 bedroom spare",35343
2001,"Total","60–64","Total","Total","2+ bedrooms needed",1878
2001,"Total","60–64","Total","Total","2+ bedrooms spare",86367
2001,"Total","60–64","Total","Total","No extra bedrooms required",14907
2001,"Total","60–64","Total","Total","Total",148305
2001,"Total","60–64","Total","Total","Unknown",6240
2001,"Total","65–69","Total","Total","1 bedroom needed",2454
2001,"Total","65–69","Total","Total","1 bedroom spare",30888
2001,"Total","65–69","Total","Total","2+ bedrooms needed",1269
2001,"Total","65–69","Total","Total","2+ bedrooms spare",69939
2001,"Total","65–69","Total","Total","No extra bedrooms required",11457
2001,"Total","65–69","Total","Total","Total",121383
2001,"Total","65–69","Total","Total","Unknown",5373
2001,"Total","70–74","Total","Total","1 bedroom needed",1662
2001,"Total","70–74","Total","Total","1 bedroom spare",32844
2001,"Total","70–74","Total","Total","2+ bedrooms needed",906
2001,"Total","70–74","Total","Total","2+ bedrooms spare",60201
2001,"Total","70–74","Total","Total","No extra bedrooms required",10224
2001,"Total","70–74","Total","Total","Total",111558
2001,"Total","70–74","Total","Total","Unknown",5727
2001,"Total","75+","Total","Total","1 bedroom needed",1818
2001,"Total","75+","Total","Total","1 bedroom spare",66669
2001,"Total","75+","Total","Total","2+ bedrooms needed",912
2001,"Total","75+","Total","Total","2+ bedrooms spare",72258
2001,"Total","75+","Total","Total","No extra bedrooms required",19806
2001,"Total","75+","Total","Total","Total",174147
2001,"Total","75+","Total","Total","Unknown",12681
2001,"Total","Total","Asian","Total","1 bedroom needed",32487
2001,"Total","Total","Asian","Total","1 bedroom spare",63522
2001,"Total","Total","Asian","Total","2+ bedrooms needed",12300
2001,"Total","Total","Asian","Total","2+ bedrooms spare",37695
2001,"Total","Total","Asian","Total","No extra bedrooms required",73815
2001,"Total","Total","Asian","Total","Total",225324
2001,"Total","Total","Asian","Total","Unknown",5505
2001,"Total","Total","European","Total","1 bedroom needed",101370
2001,"Total","Total","European","Total","1 bedroom spare",983973
2001,"Total","Total","European","Total","2+ bedrooms needed",21654
2001,"Total","Total","European","Total","2+ bedrooms spare",898404
2001,"Total","Total","European","Total","No extra bedrooms required",646719
2001,"Total","Total","European","Total","Total",2684844
2001,"Total","Total","European","Total","Unknown",32724
2001,"Total","Total","Māori","Total","1 bedroom needed",73263
2001,"Total","Total","Māori","Total","1 bedroom spare",132537
2001,"Total","Total","Māori","Total","2+ bedrooms needed",37158
2001,"Total","Total","Māori","Total","2+ bedrooms spare",67329
2001,"Total","Total","Māori","Total","No extra bedrooms required",162387
2001,"Total","Total","Māori","Total","Total",485868
2001,"Total","Total","Māori","Total","Unknown",13194
2001,"Total","Total","MELAA","Total","1 bedroom needed",3807
2001,"Total","Total","MELAA","Total","1 bedroom spare",5574
2001,"Total","Total","MELAA","Total","2+ bedrooms needed",1683
2001,"Total","Total","MELAA","Total","2+ bedrooms spare",2409
2001,"Total","Total","MELAA","Total","No extra bedrooms required",8289
2001,"Total","Total","MELAA","Total","Total",22503
2001,"Total","Total","MELAA","Total","Unknown",738
2001,"Total","Total","Not available","Total","1 bedroom needed",16767
2001,"Total","Total","Not available","Total","1 bedroom spare",49983
2001,"Total","Total","Not available","Total","2+ bedrooms needed",9945
2001,"Total","Total","Not available","Total","2+ bedrooms spare",38271
2001,"Total","Total","Not available","Total","No extra bedrooms required",43353
2001,"Total","Total","Not available","Total","Total",244590
2001,"Total","Total","Not available","Total","Unknown",86271
2001,"Total","Total","Other","Total","1 bedroom needed",66
2001,"Total","Total","Other","Total","1 bedroom spare",243
2001,"Total","Total","Other","Total","2+ bedrooms needed",15
2001,"Total","Total","Other","Total","2+ bedrooms spare",150
2001,"Total","Total","Other","Total","No extra bedrooms required",243
2001,"Total","Total","Other","Total","Total",732
2001,"Total","Total","Other","Total","Unknown",18
2001,"Total","Total","Pacific","Total","1 bedroom needed",48000
2001,"Total","Total","Pacific","Total","1 bedroom spare",37371
2001,"Total","Total","Pacific","Total","2+ bedrooms needed",40833
2001,"Total","Total","Pacific","Total","2+ bedrooms spare",16719
2001,"Total","Total","Pacific","Total","No extra bedrooms required",64641
2001,"Total","Total","Pacific","Total","Total",217533
2001,"Total","Total","Pacific","Total","Unknown",9969
2001,"Total","Total","Total","Area Outside Region","1 bedroom needed",57
2001,"Total","Total","Total","Area Outside Region","1 bedroom spare",213
2001,"Total","Total","Total","Area Outside Region","2+ bedrooms needed",24
2001,"Total","Total","Total","Area Outside Region","2+ bedrooms spare",174
2001,"Total","Total","Total","Area Outside Region","No extra bedrooms required",129
2001,"Total","Total","Total","Area Outside Region","Total",654
2001,"Total","Total","Total","Area Outside Region","Unknown",57
2001,"Total","Total","Total","Auckland Region","1 bedroom needed",102690
2001,"Total","Total","Total","Auckland Region","1 bedroom spare",346065
2001,"Total","Total","Total","Auckland Region","2+ bedrooms needed",60309
2001,"Total","Total","Total","Auckland Region","2+ bedrooms spare",262944
2001,"Total","Total","Total","Auckland Region","No extra bedrooms required",296181
2001,"Total","Total","Total","Auckland Region","Total",1127640
2001,"Total","Total","Total","Auckland Region","Unknown",59451
2001,"Total","Total","Total","Bay of Plenty Region","1 bedroom needed",15561
2001,"Total","Total","Total","Bay of Plenty Region","1 bedroom spare",72915
2001,"Total","Total","Total","Bay of Plenty Region","2+ bedrooms needed",7182
2001,"Total","Total","Total","Bay of Plenty Region","2+ bedrooms spare",70338
2001,"Total","Total","Total","Bay of Plenty Region","No extra bedrooms required",53094
2001,"Total","Total","Total","Bay of Plenty Region","Total",229371
2001,"Total","Total","Total","Bay of Plenty Region","Unknown",10278
2001,"Total","Total","Total","Canterbury Region","1 bedroom needed",18507
2001,"Total","Total","Total","Canterbury Region","1 bedroom spare",171060
2001,"Total","Total","Total","Canterbury Region","2+ bedrooms needed",4143
2001,"Total","Total","Total","Canterbury Region","2+ bedrooms spare",143976
2001,"Total","Total","Total","Canterbury Region","No extra bedrooms required",113292
2001,"Total","Total","Total","Canterbury Region","Total",461820
2001,"Total","Total","Total","Canterbury Region","Unknown",10845
2001,"Total","Total","Total","Gisborne Region","1 bedroom needed",4014
2001,"Total","Total","Total","Gisborne Region","1 bedroom spare",12273
2001,"Total","Total","Total","Gisborne Region","2+ bedrooms needed",1836
2001,"Total","Total","Total","Gisborne Region","2+ bedrooms spare",11388
2001,"Total","Total","Total","Gisborne Region","No extra bedrooms required",10668
2001,"Total","Total","Total","Gisborne Region","Total",41937
2001,"Total","Total","Total","Gisborne Region","Unknown",1761
2001,"Total","Total","Total","Hawke's Bay Region","1 bedroom needed",9504
2001,"Total","Total","Total","Hawke's Bay Region","1 bedroom spare",44556
2001,"Total","Total","Total","Hawke's Bay Region","2+ bedrooms needed",4281
2001,"Total","Total","Total","Hawke's Bay Region","2+ bedrooms spare",40104
2001,"Total","Total","Total","Hawke's Bay Region","No extra bedrooms required",32925
2001,"Total","Total","Total","Hawke's Bay Region","Total",136773
2001,"Total","Total","Total","Hawke's Bay Region","Unknown",5406
2001,"Total","Total","Total","Manawatū-Whanganui Region","1 bedroom needed",10875
2001,"Total","Total","Total","Manawatū-Whanganui Region","1 bedroom spare",70938
2001,"Total","Total","Total","Manawatū-Whanganui Region","2+ bedrooms needed",3372
2001,"Total","Total","Total","Manawatū-Whanganui Region","2+ bedrooms spare",66792
2001,"Total","Total","Total","Manawatū-Whanganui Region","No extra bedrooms required",50586
2001,"Total","Total","Total","Manawatū-Whanganui Region","Total",209373
2001,"Total","Total","Total","Manawatū-Whanganui Region","Unknown",6810
2001,"Total","Total","Total","Marlborough Region","1 bedroom needed",1542
2001,"Total","Total","Total","Marlborough Region","1 bedroom spare",12585
2001,"Total","Total","Total","Marlborough Region","2+ bedrooms needed",291
2001,"Total","Total","Total","Marlborough Region","2+ bedrooms spare",13788
2001,"Total","Total","Total","Marlborough Region","No extra bedrooms required",8067
2001,"Total","Total","Total","Marlborough Region","Total",37416
2001,"Total","Total","Total","Marlborough Region","Unknown",1140
2001,"Total","Total","Total","Nelson Region","1 bedroom needed",1848
2001,"Total","Total","Total","Nelson Region","1 bedroom spare",14142
2001,"Total","Total","Total","Nelson Region","2+ bedrooms needed",435
2001,"Total","Total","Total","Nelson Region","2+ bedrooms spare",11646
2001,"Total","Total","Total","Nelson Region","No extra bedrooms required",10155
2001,"Total","Total","Total","Nelson Region","Total",39390
2001,"Total","Total","Total","Nelson Region","Unknown",1167
2001,"Total","Total","Total","Northland Region","1 bedroom needed",9873
2001,"Total","Total","Total","Northland Region","1 bedroom spare",39465
2001,"Total","Total","Total","Northland Region","2+ bedrooms needed",4632
2001,"Total","Total","Total","Northland Region","2+ bedrooms spare",39423
2001,"Total","Total","Total","Northland Region","No extra bedrooms required",31476
2001,"Total","Total","Total","Northland Region","Total",134358
2001,"Total","Total","Total","Northland Region","Unknown",9495
2001,"Total","Total","Total","Otago Region","1 bedroom needed",5934
2001,"Total","Total","Total","Otago Region","1 bedroom spare",61038
2001,"Total","Total","Total","Otago Region","2+ bedrooms needed",1056
2001,"Total","Total","Total","Otago Region","2+ bedrooms spare",56928
2001,"Total","Total","Total","Otago Region","No extra bedrooms required",42438
2001,"Total","Total","Total","Otago Region","Total",171483
2001,"Total","Total","Total","Otago Region","Unknown",4086
2001,"Total","Total","Total","Southland Region","1 bedroom needed",2868
2001,"Total","Total","Total","Southland Region","1 bedroom spare",31404
2001,"Total","Total","Total","Southland Region","2+ bedrooms needed",651
2001,"Total","Total","Total","Southland Region","2+ bedrooms spare",29733
2001,"Total","Total","Total","Southland Region","No extra bedrooms required",20142
2001,"Total","Total","Total","Southland Region","Total",86751
2001,"Total","Total","Total","Southland Region","Unknown",1953
2001,"Total","Total","Total","Taranaki Region","1 bedroom needed",4494
2001,"Total","Total","Total","Taranaki Region","1 bedroom spare",34404
2001,"Total","Total","Total","Taranaki Region","2+ bedrooms needed",1068
2001,"Total","Total","Total","Taranaki Region","2+ bedrooms spare",32352
2001,"Total","Total","Total","Taranaki Region","No extra bedrooms required",22914
2001,"Total","Total","Total","Taranaki Region","Total",98124
2001,"Total","Total","Total","Taranaki Region","Unknown",2889
2001,"Total","Total","Total","Tasman Region","1 bedroom needed",1617
2001,"Total","Total","Total","Tasman Region","1 bedroom spare",13317
2001,"Total","Total","Total","Tasman Region","2+ bedrooms needed",432
2001,"Total","Total","Total","Tasman Region","2+ bedrooms spare",13986
2001,"Total","Total","Total","Tasman Region","No extra bedrooms required",8910
2001,"Total","Total","Total","Tasman Region","Total",39711
2001,"Total","Total","Total","Tasman Region","Unknown",1449
2001,"Total","Total","Total","Total","1 bedroom needed",239463
2001,"Total","Total","Total","Total","1 bedroom spare",1184961
2001,"Total","Total","Total","Total","2+ bedrooms needed",108891
2001,"Total","Total","Total","Total","2+ bedrooms spare",1019754
2001,"Total","Total","Total","Total","No extra bedrooms required",898308
2001,"Total","Total","Total","Total","Total",3594513
2001,"Total","Total","Total","Total","Unknown",143133
2001,"Total","Total","Total","Waikato Region","1 bedroom needed",22206
2001,"Total","Total","Total","Waikato Region","1 bedroom spare",112479
2001,"Total","Total","Total","Waikato Region","2+ bedrooms needed",8901
2001,"Total","Total","Total","Waikato Region","2+ bedrooms spare",105132
2001,"Total","Total","Total","Waikato Region","No extra bedrooms required",80844
2001,"Total","Total","Total","Waikato Region","Total",341904
2001,"Total","Total","Total","Waikato Region","Unknown",12342
2001,"Total","Total","Total","Wellington Region","1 bedroom needed",26886
2001,"Total","Total","Total","Wellington Region","1 bedroom spare",138426
2001,"Total","Total","Total","Wellington Region","2+ bedrooms needed",10128
2001,"Total","Total","Total","Wellington Region","2+ bedrooms spare",111609
2001,"Total","Total","Total","Wellington Region","No extra bedrooms required",109716
2001,"Total","Total","Total","Wellington Region","Total",409704
2001,"Total","Total","Total","Wellington Region","Unknown",12936
2001,"Total","Total","Total","West Coast Region","1 bedroom needed",990
2001,"Total","Total","Total","West Coast Region","1 bedroom spare",9684
2001,"Total","Total","Total","West Coast Region","2+ bedrooms needed",153
2001,"Total","Total","Total","West Coast Region","2+ bedrooms spare",9444
2001,"Total","Total","Total","West Coast Region","No extra bedrooms required",6771
2001,"Total","Total","Total","West Coast Region","Total",28110
