"Period","Sex","Age_group","Ethnic_group","Regional_council","Level_of_crowding","Count"
2006,"Total","Total","Total","West Coast Region","Unknown",1092
2013,"Female","Total","Total","Total","1 bedroom needed",138636
2013,"Female","Total","Total","Total","1 bedroom spare",661422
2013,"Female","Total","Total","Total","2+ bedrooms needed",65571
2013,"Female","Total","Total","Total","2+ bedrooms spare",658458
2013,"Female","Total","Total","Total","No extra bedrooms required",493824
2013,"Female","Total","Total","Total","Total",2117265
2013,"Female","Total","Total","Total","Unknown",99354
2013,"Male","Total","Total","Total","1 bedroom needed",130533
2013,"Male","Total","Total","Total","1 bedroom spare",616179
2013,"Male","Total","Total","Total","2+ bedrooms needed",63552
2013,"Male","Total","Total","Total","2+ bedrooms spare",633666
2013,"Male","Total","Total","Total","No extra bedrooms required",469260
2013,"Male","Total","Total","Total","Total",2010210
2013,"Male","Total","Total","Total","Unknown",97017
2013,"Total","0–4","Total","Total","1 bedroom needed",30147
2013,"Total","0–4","Total","Total","1 bedroom spare",103686
2013,"Total","0–4","Total","Total","2+ bedrooms needed",14949
2013,"Total","0–4","Total","Total","2+ bedrooms spare",44046
2013,"Total","0–4","Total","Total","No extra bedrooms required",85587
2013,"Total","0–4","Total","Total","Total",291858
2013,"Total","0–4","Total","Total","Unknown",13440
2013,"Total","10–14","Total","Total","1 bedroom needed",27411
2013,"Total","10–14","Total","Total","1 bedroom spare",97041
2013,"Total","10–14","Total","Total","2+ bedrooms needed",13362
2013,"Total","10–14","Total","Total","2+ bedrooms spare",50436
2013,"Total","10–14","Total","Total","No extra bedrooms required",83700
2013,"Total","10–14","Total","Total","Total",284388
2013,"Total","10–14","Total","Total","Unknown",12444
2013,"Total","15–19","Total","Total","1 bedroom needed",29073
2013,"Total","15–19","Total","Total","1 bedroom spare",88191
2013,"Total","15–19","Total","Total","2+ bedrooms needed",15738
2013,"Total","15–19","Total","Total","2+ bedrooms spare",48804
2013,"Total","15–19","Total","Total","No extra bedrooms required",86289
2013,"Total","15–19","Total","Total","Total",282288
2013,"Total","15–19","Total","Total","Unknown",14196
2013,"Total","20–24","Total","Total","1 bedroom needed",30654
2013,"Total","20–24","Total","Total","1 bedroom spare",76554
2013,"Total","20–24","Total","Total","2+ bedrooms needed",17733
2013,"Total","20–24","Total","Total","2+ bedrooms spare",42681
2013,"Total","20–24","Total","Total","No extra bedrooms required",97740
2013,"Total","20–24","Total","Total","Total",282261
2013,"Total","20–24","Total","Total","Unknown",16890
2013,"Total","25–29","Total","Total","1 bedroom needed",20895
2013,"Total","25–29","Total","Total","1 bedroom spare",77670
2013,"Total","25–29","Total","Total","2+ bedrooms needed",10755
2013,"Total","25–29","Total","Total","2+ bedrooms spare",52098
2013,"Total","25–29","Total","Total","No extra bedrooms required",76251
2013,"Total","25–29","Total","Total","Total",252051
2013,"Total","25–29","Total","Total","Unknown",14385
2013,"Total","30–34","Total","Total","1 bedroom needed",17805
2013,"Total","30–34","Total","Total","1 bedroom spare",86337
2013,"Total","30–34","Total","Total","2+ bedrooms needed",7182
2013,"Total","30–34","Total","Total","2+ bedrooms spare",57732
2013,"Total","30–34","Total","Total","No extra bedrooms required",69540
2013,"Total","30–34","Total","Total","Total",251361
2013,"Total","30–34","Total","Total","Unknown",12762
2013,"Total","35–39","Total","Total","1 bedroom needed",16731
2013,"Total","35–39","Total","Total","1 bedroom spare",94389
2013,"Total","35–39","Total","Total","2+ bedrooms needed",6177
2013,"Total","35–39","Total","Total","2+ bedrooms spare",62577
2013,"Total","35–39","Total","Total","No extra bedrooms required",70203
2013,"Total","35–39","Total","Total","Total",262266
2013,"Total","35–39","Total","Total","Unknown",12189
2013,"Total","40–44","Total","Total","1 bedroom needed",17148
2013,"Total","40–44","Total","Total","1 bedroom spare",108210
2013,"Total","40–44","Total","Total","2+ bedrooms needed",6948
2013,"Total","40–44","Total","Total","2+ bedrooms spare",80355
2013,"Total","40–44","Total","Total","No extra bedrooms required",74034
2013,"Total","40–44","Total","Total","Total",300357
2013,"Total","40–44","Total","Total","Unknown",13662
2013,"Total","45–49","Total","Total","1 bedroom needed",14781
2013,"Total","45–49","Total","Total","1 bedroom spare",100800
2013,"Total","45–49","Total","Total","2+ bedrooms needed",6387
2013,"Total","45–49","Total","Total","2+ bedrooms spare",97482
2013,"Total","45–49","Total","Total","No extra bedrooms required",63429
2013,"Total","45–49","Total","Total","Total",296307
2013,"Total","45–49","Total","Total","Unknown",13425
2013,"Total","5–9","Total","Total","1 bedroom needed",30816
2013,"Total","5–9","Total","Total","1 bedroom spare",93831
2013,"Total","5–9","Total","Total","2+ bedrooms needed",14319
2013,"Total","5–9","Total","Total","2+ bedrooms spare",42330
2013,"Total","5–9","Total","Total","No extra bedrooms required",93945
2013,"Total","5–9","Total","Total","Total",288039
2013,"Total","5–9","Total","Total","Unknown",12798
2013,"Total","50–54","Total","Total","1 bedroom needed",11799
2013,"Total","50–54","Total","Total","1 bedroom spare",86901
2013,"Total","50–54","Total","Total","2+ bedrooms needed",5256
2013,"Total","50–54","Total","Total","2+ bedrooms spare",126399
2013,"Total","50–54","Total","Total","No extra bedrooms required",50682
2013,"Total","50–54","Total","Total","Total",294405
2013,"Total","50–54","Total","Total","Unknown",13368
2013,"Total","55–59","Total","Total","1 bedroom needed",7767
2013,"Total","55–59","Total","Total","1 bedroom spare",62547
2013,"Total","55–59","Total","Total","2+ bedrooms needed",3675
2013,"Total","55–59","Total","Total","2+ bedrooms spare",135540
2013,"Total","55–59","Total","Total","No extra bedrooms required",33750
2013,"Total","55–59","Total","Total","Total",254688
2013,"Total","55–59","Total","Total","Unknown",11409
2013,"Total","60–64","Total","Total","1 bedroom needed",5406
2013,"Total","60–64","Total","Total","1 bedroom spare",49836
2013,"Total","60–64","Total","Total","2+ bedrooms needed",2514
2013,"Total","60–64","Total","Total","2+ bedrooms spare",135063
2013,"Total","60–64","Total","Total","No extra bedrooms required",24273
2013,"Total","60–64","Total","Total","Total",227076
2013,"Total","60–64","Total","Total","Unknown",9984
2013,"Total","65–69","Total","Total","1 bedroom needed",3510
2013,"Total","65–69","Total","Total","1 bedroom spare",41139
2013,"Total","65–69","Total","Total","2+ bedrooms needed",1695
2013,"Total","65–69","Total","Total","2+ bedrooms spare",116508
2013,"Total","65–69","Total","Total","No extra bedrooms required",17667
2013,"Total","65–69","Total","Total","Total",188604
2013,"Total","65–69","Total","Total","Unknown",8088
2013,"Total","70–74","Total","Total","1 bedroom needed",2418
2013,"Total","70–74","Total","Total","1 bedroom spare",34311
2013,"Total","70–74","Total","Total","2+ bedrooms needed",1122
2013,"Total","70–74","Total","Total","2+ bedrooms spare",86148
2013,"Total","70–74","Total","Total","No extra bedrooms required",13218
2013,"Total","70–74","Total","Total","Total",143451
2013,"Total","70–74","Total","Total","Unknown",6231
2013,"Total","75+","Total","Total","1 bedroom needed",2817
2013,"Total","75+","Total","Total","1 bedroom spare",76158
2013,"Total","75+","Total","Total","2+ bedrooms needed",1311
2013,"Total","75+","Total","Total","2+ bedrooms spare",113919
2013,"Total","75+","Total","Total","No extra bedrooms required",22773
2013,"Total","75+","Total","Total","Total",228081
2013,"Total","75+","Total","Total","Unknown",11103
2013,"Total","Total","Asian","Total","1 bedroom needed",59838
2013,"Total","Total","Asian","Total","1 bedroom spare",128049
2013,"Total","Total","Asian","Total","2+ bedrooms needed",22302
2013,"Total","Total","Asian","Total","2+ bedrooms spare",92355
2013,"Total","Total","Asian","Total","No extra bedrooms required",144951
2013,"Total","Total","Asian","Total","Total",457314
2013,"Total","Total","Asian","Total","Unknown",9816
2013,"Total","Total","European","Total","1 bedroom needed",95760
2013,"Total","Total","European","Total","1 bedroom spare",984510
2013,"Total","Total","European","Total","2+ bedrooms needed",23682
2013,"Total","Total","European","Total","2+ bedrooms spare",1079094
2013,"Total","Total","European","Total","No extra bedrooms required",612174
2013,"Total","Total","European","Total","Total",2821353
2013,"Total","Total","European","Total","Unknown",26127
2013,"Total","Total","Māori","Total","1 bedroom needed",72969
2013,"Total","Total","Māori","Total","1 bedroom spare",164781
2013,"Total","Total","Māori","Total","2+ bedrooms needed",37971
2013,"Total","Total","Māori","Total","2+ bedrooms spare",99003
2013,"Total","Total","Māori","Total","No extra bedrooms required",181044
2013,"Total","Total","Māori","Total","Total",568584
2013,"Total","Total","Māori","Total","Unknown",12819
2013,"Total","Total","MELAA","Total","1 bedroom needed",5643
2013,"Total","Total","MELAA","Total","1 bedroom spare",12378
2013,"Total","Total","MELAA","Total","2+ bedrooms needed",2061
2013,"Total","Total","MELAA","Total","2+ bedrooms spare",6765
2013,"Total","Total","MELAA","Total","No extra bedrooms required",16854
2013,"Total","Total","MELAA","Total","Total",45087
2013,"Total","Total","MELAA","Total","Unknown",1389
2013,"Total","Total","Not available","Total","1 bedroom needed",19638
2013,"Total","Total","Not available","Total","1 bedroom spare",47163
2013,"Total","Total","Not available","Total","2+ bedrooms needed",12975
2013,"Total","Total","Not available","Total","2+ bedrooms spare",39660
2013,"Total","Total","Not available","Total","No extra bedrooms required",46695
2013,"Total","Total","Not available","Total","Total",306993
2013,"Total","Total","Not available","Total","Unknown",140859
2013,"Total","Total","Other","Total","1 bedroom needed",2109
2013,"Total","Total","Other","Total","1 bedroom spare",21789
2013,"Total","Total","Other","Total","2+ bedrooms needed",528
2013,"Total","Total","Other","Total","2+ bedrooms spare",25713
2013,"Total","Total","Other","Total","No extra bedrooms required",14223
2013,"Total","Total","Other","Total","Total",65007
2013,"Total","Total","Other","Total","Unknown",645
2013,"Total","Total","Pacific","Total","1 bedroom needed",59169
2013,"Total","Total","Pacific","Total","1 bedroom spare",53091
2013,"Total","Total","Pacific","Total","2+ bedrooms needed",49494
2013,"Total","Total","Pacific","Total","2+ bedrooms spare",24993
2013,"Total","Total","Pacific","Total","No extra bedrooms required",86442
2013,"Total","Total","Pacific","Total","Total",284454
2013,"Total","Total","Pacific","Total","Unknown",11268
2013,"Total","Total","Total","Area Outside Region","1 bedroom needed",33
2013,"Total","Total","Total","Area Outside Region","1 bedroom spare",174
2013,"Total","Total","Total","Area Outside Region","2+ bedrooms needed",12
2013,"Total","Total","Total","Area Outside Region","2+ bedrooms spare",195
2013,"Total","Total","Total","Area Outside Region","No extra bedrooms required",150
2013,"Total","Total","Total","Area Outside Region","Total",588
2013,"Total","Total","Total","Area Outside Region","Unknown",24
2013,"Total","Total","Total","Auckland Region","1 bedroom needed",128727
2013,"Total","Total","Total","Auckland Region","1 bedroom spare",404100
2013,"Total","Total","Total","Auckland Region","2+ bedrooms needed",75090
2013,"Total","Total","Total","Auckland Region","2+ bedrooms spare",352044
2013,"Total","Total","Total","Auckland Region","No extra bedrooms required",357810
2013,"Total","Total","Total","Auckland Region","Total",1393836
2013,"Total","Total","Total","Auckland Region","Unknown",76062
2013,"Total","Total","Total","Bay of Plenty Region","1 bedroom needed",16002
2013,"Total","Total","Total","Bay of Plenty Region","1 bedroom spare",78975
2013,"Total","Total","Total","Bay of Plenty Region","2+ bedrooms needed",7581
2013,"Total","Total","Total","Bay of Plenty Region","2+ bedrooms spare",90417
2013,"Total","Total","Total","Bay of Plenty Region","No extra bedrooms required",54222
2013,"Total","Total","Total","Bay of Plenty Region","Total",261639
2013,"Total","Total","Total","Bay of Plenty Region","Unknown",14439
2013,"Total","Total","Total","Canterbury Region","1 bedroom needed",22260
2013,"Total","Total","Total","Canterbury Region","1 bedroom spare",176073
2013,"Total","Total","Total","Canterbury Region","2+ bedrooms needed",7233
2013,"Total","Total","Total","Canterbury Region","2+ bedrooms spare",179694
2013,"Total","Total","Total","Canterbury Region","No extra bedrooms required",116112
2013,"Total","Total","Total","Canterbury Region","Total",519528
2013,"Total","Total","Total","Canterbury Region","Unknown",18156
2013,"Total","Total","Total","Gisborne Region","1 bedroom needed",4011
2013,"Total","Total","Total","Gisborne Region","1 bedroom spare",11712
2013,"Total","Total","Total","Gisborne Region","2+ bedrooms needed",1902
2013,"Total","Total","Total","Gisborne Region","2+ bedrooms spare",12348
2013,"Total","Total","Total","Gisborne Region","No extra bedrooms required",9927
2013,"Total","Total","Total","Gisborne Region","Total",42642
2013,"Total","Total","Total","Gisborne Region","Unknown",2742
2013,"Total","Total","Total","Hawke's Bay Region","1 bedroom needed",9342
2013,"Total","Total","Total","Hawke's Bay Region","1 bedroom spare",45336
2013,"Total","Total","Total","Hawke's Bay Region","2+ bedrooms needed",4155
2013,"Total","Total","Total","Hawke's Bay Region","2+ bedrooms spare",47862
2013,"Total","Total","Total","Hawke's Bay Region","No extra bedrooms required",32685
2013,"Total","Total","Total","Hawke's Bay Region","Total",146262
2013,"Total","Total","Total","Hawke's Bay Region","Unknown",6882
2013,"Total","Total","Total","Manawatū-Whanganui Region","1 bedroom needed",10491
2013,"Total","Total","Total","Manawatū-Whanganui Region","1 bedroom spare",68334
2013,"Total","Total","Total","Manawatū-Whanganui Region","2+ bedrooms needed",3558
2013,"Total","Total","Total","Manawatū-Whanganui Region","2+ bedrooms spare",77877
2013,"Total","Total","Total","Manawatū-Whanganui Region","No extra bedrooms required",44439
2013,"Total","Total","Total","Manawatū-Whanganui Region","Total",213711
2013,"Total","Total","Total","Manawatū-Whanganui Region","Unknown",9012
2013,"Total","Total","Total","Marlborough Region","1 bedroom needed",1362
2013,"Total","Total","Total","Marlborough Region","1 bedroom spare",13251
2013,"Total","Total","Total","Marlborough Region","2+ bedrooms needed",546
2013,"Total","Total","Total","Marlborough Region","2+ bedrooms spare",17790
2013,"Total","Total","Total","Marlborough Region","No extra bedrooms required",7311
2013,"Total","Total","Total","Marlborough Region","Total",41775
2013,"Total","Total","Total","Marlborough Region","Unknown",1518
2013,"Total","Total","Total","Nelson Region","1 bedroom needed",1773
2013,"Total","Total","Total","Nelson Region","1 bedroom spare",15525
2013,"Total","Total","Total","Nelson Region","2+ bedrooms needed",525
2013,"Total","Total","Total","Nelson Region","2+ bedrooms spare",15150
2013,"Total","Total","Total","Nelson Region","No extra bedrooms required",10158
2013,"Total","Total","Total","Nelson Region","Total",44553
2013,"Total","Total","Total","Nelson Region","Unknown",1422
2013,"Total","Total","Total","Northland Region","1 bedroom needed",9309
2013,"Total","Total","Total","Northland Region","1 bedroom spare",41877
2013,"Total","Total","Total","Northland Region","2+ bedrooms needed",4641
2013,"Total","Total","Total","Northland Region","2+ bedrooms spare",50334
2013,"Total","Total","Total","Northland Region","No extra bedrooms required",30201
2013,"Total","Total","Total","Northland Region","Total",147498
2013,"Total","Total","Total","Northland Region","Unknown",11139
2013,"Total","Total","Total","Otago Region","1 bedroom needed",6183
2013,"Total","Total","Total","Otago Region","1 bedroom spare",63486
2013,"Total","Total","Total","Otago Region","2+ bedrooms needed",1479
2013,"Total","Total","Total","Otago Region","2+ bedrooms spare",70404
2013,"Total","Total","Total","Otago Region","No extra bedrooms required",43191
2013,"Total","Total","Total","Otago Region","Total",192294
2013,"Total","Total","Total","Otago Region","Unknown",7548
2013,"Total","Total","Total","Southland Region","1 bedroom needed",2994
2013,"Total","Total","Total","Southland Region","1 bedroom spare",30939
2013,"Total","Total","Total","Southland Region","2+ bedrooms needed",645
2013,"Total","Total","Total","Southland Region","2+ bedrooms spare",34752
2013,"Total","Total","Total","Southland Region","No extra bedrooms required",17868
2013,"Total","Total","Total","Southland Region","Total",90354
2013,"Total","Total","Total","Southland Region","Unknown",3156
2013,"Total","Total","Total","Taranaki Region","1 bedroom needed",4260
2013,"Total","Total","Total","Taranaki Region","1 bedroom spare",35199
2013,"Total","Total","Total","Taranaki Region","2+ bedrooms needed",1233
2013,"Total","Total","Total","Taranaki Region","2+ bedrooms spare",39600
2013,"Total","Total","Total","Taranaki Region","No extra bedrooms required",21405
2013,"Total","Total","Total","Taranaki Region","Total",105978
2013,"Total","Total","Total","Taranaki Region","Unknown",4281
2013,"Total","Total","Total","Tasman Region","1 bedroom needed",1437
2013,"Total","Total","Total","Tasman Region","1 bedroom spare",14733
2013,"Total","Total","Total","Tasman Region","2+ bedrooms needed",351
2013,"Total","Total","Total","Tasman Region","2+ bedrooms spare",18645
2013,"Total","Total","Total","Tasman Region","No extra bedrooms required",9144
2013,"Total","Total","Total","Tasman Region","Total",45654
2013,"Total","Total","Total","Tasman Region","Unknown",1347
2013,"Total","Total","Total","Total","1 bedroom needed",269169
2013,"Total","Total","Total","Total","1 bedroom spare",1277601
2013,"Total","Total","Total","Total","2+ bedrooms needed",129123
2013,"Total","Total","Total","Total","2+ bedrooms spare",1292121
2013,"Total","Total","Total","Total","No extra bedrooms required",963084
2013,"Total","Total","Total","Total","Total",4127475
2013,"Total","Total","Total","Total","Unknown",196374
2013,"Total","Total","Total","Waikato Region","1 bedroom needed",22785
2013,"Total","Total","Total","Waikato Region","1 bedroom spare",120363
2013,"Total","Total","Total","Waikato Region","2+ bedrooms needed",9525
2013,"Total","Total","Total","Waikato Region","2+ bedrooms spare",137538
2013,"Total","Total","Total","Waikato Region","No extra bedrooms required",84441
2013,"Total","Total","Total","Waikato Region","Total",392955
2013,"Total","Total","Total","Waikato Region","Unknown",18303
2013,"Total","Total","Total","Wellington Region","1 bedroom needed",27315
2013,"Total","Total","Total","Wellington Region","1 bedroom spare",147540
2013,"Total","Total","Total","Wellington Region","2+ bedrooms needed",10482
2013,"Total","Total","Total","Wellington Region","2+ bedrooms spare",136068
2013,"Total","Total","Total","Wellington Region","No extra bedrooms required",117846
2013,"Total","Total","Total","Wellington Region","Total",457770
2013,"Total","Total","Total","Wellington Region","Unknown",18522
2013,"Total","Total","Total","West Coast Region","1 bedroom needed",894
2013,"Total","Total","Total","West Coast Region","1 bedroom spare",9984
2013,"Total","Total","Total","West Coast Region","2+ bedrooms needed",159
2013,"Total","Total","Total","West Coast Region","2+ bedrooms spare",11412
2013,"Total","Total","Total","West Coast Region","No extra bedrooms required",6177
2013,"Total","Total","Total","West Coast Region","Total",30438
2013,"Total","Total","Total","West Coast Region","Unknown",1821
